# Qlow				mt(as^2) 	        mt(as^2+asat)       mt(as^2+at^2)       mt(as^2+asat+at^2)
165.96143200000003	126.81509817480298	126.73880919886679	126.85104032256554	126.77457045099013
167.32924600000004	126.81733097536107	126.74072735257401	126.85212894647918	126.77534714651767
168.69706000000002	126.81954894587257	126.7426332421541	126.85321029072618	126.77611914171399
170.06487400000003	126.82175235667698	126.74452709464221	126.85428453009376	126.77688656301417
171.43268800000004	126.82394144856374	126.7464091098236	126.85535180898515	126.77764951718268
172.80050200000005	126.82611645502689	126.74827948362562	126.85641226811002	126.77840810430935
174.16831600000006	126.82827764365139	126.75013844250535	126.85746607904589	126.77916245652469
175.53613000000004	126.83042519173833	126.75198612658922	126.858513328396	126.77991262160286
176.90394400000005	126.83255933716408	126.75382273736157	126.85955416909322	126.78065871546573
178.27175800000006	126.83468030149233	126.75564846011872	126.86058872996412	126.7814008337023
179.63957200000004	126.83678828188869	126.75746345875218	126.86161712647895	126.78213905282894
181.00738600000005	126.83888351438577	126.75926793084302	126.86263950743832	126.78287348819019
182.37520000000006	126.8409661523299	126.76106200062341	126.86365594473199	126.78360417911242
