# Qlow				mt(as^2) 	        mt(as^2+as^3)       mt(as^2+as^4)       mt(as^2+as^3+as^4)
97.57073200000002	126.6758764274905	126.30096385709187	126.55491572365074	126.1802021933773
98.93854600000002	126.67942937582842	126.30503465823342	126.55783881158058	126.18364523755463
100.30636000000001	126.6829383144207	126.30904946893507	126.56073527537427	126.18704973124353
101.67417400000002	126.68640412768202	126.31300941287584	126.56360537241129	126.19041613965872
103.04198800000002	126.68982771825829	126.31691559592763	126.56644938456101	126.19374494246962
104.40980200000001	126.69321002487767	126.3207691441011	126.56926765411846	126.19703665908634
105.77761600000002	126.69655201015946	126.32457121800874	126.57206059152485	126.20029186633938
107.14543000000002	126.69985460958189	126.32832290224755	126.57482857107948	126.2035111087694
108.51324400000001	126.70311879431605	126.33202534515647	126.57757205327579	126.20669499831975
109.88105800000002	126.70634547639952	126.33567961609407	126.5802914368543	126.20984408887234
111.24887200000002	126.70953557354939	126.33928679020693	126.58298715923597	126.21295898304183
112.61668600000002	126.71268999367828	126.34284793379784	126.58565968099889	126.21604028328652
113.98450000000003	126.7158096120064	126.34636406384304	126.58830942635718	126.2190885655253
115.35231400000002	126.71889528648425	126.34983620421744	126.5909368335643	126.22210442684415
116.72012800000002	126.7219478526183	126.35326533383751	126.59354233144262	126.2250884362764
118.08794200000001	126.72496810328397	126.35665239676	126.59612633087829	126.22804116011486
119.45575600000001	126.72795683878624	126.35999833946917	126.59868925407253	126.23096317020241
120.82357000000002	126.73091483036886	126.36330408940174	126.60123152637757	126.23385503320347
122.19138400000001	126.73384278762003	126.36657049199859	126.6037535060977	126.23671726170566
123.55919800000001	126.73674146280713	126.36979845357794	126.60625562805677	126.2395504305769
124.92701200000002	126.7396115235622	126.37298878303038	126.60873823976529	126.24235504099698
126.29482600000001	126.74245365935327	126.37614231836729	126.61120173790452	126.24513162607687
127.66264000000001	126.745268487071	126.37925979878192	126.61364643887458	126.2478806362647
129.03045400000002	126.74805659741527	126.38234197910666	126.6160726681057	126.25060255656432
130.39826800000003	126.75081864888095	126.38538965756125	126.61848081900395	126.25329791671203
131.766082			126.75355519596427	126.3884035165758	126.62087118404503	126.25596715010937
133.13389600000002	126.7562668412072	126.39138430184461	126.62324412645329	126.2586107494042
134.50171000000003	126.75895410259112	126.39433266465446	126.62559992732547	126.26122913814268
135.869524			126.76161753262163	126.39724929004315	126.62793891241863	126.26382277291835
137.23733800000002	126.76425760228517	126.4001347758591	126.63026133235428	126.2663920362109
138.60515200000003	126.76687482118157	126.40298976687622	126.63256748924513	126.268937362767
139.97296600000004	126.76946965000327	126.40581492758774	126.63485770576757	126.27145895845226
141.34078000000005	126.77204184316491	126.40860981584858	126.63713132576866	126.2739569138001
142.70859400000003	126.77459292072761	126.4113766915111	126.63938999732433	126.27643273223666
144.07640800000004	126.77712356187317	126.41411594839805	126.64163405839274	126.27888668401171
145.44422200000005	126.77963396968998	126.41682792203852	126.64386352756323	126.28131897374509
146.81203600000003	126.78212447948844	126.41951309000268	126.64607858365174	126.28372991991958
148.17985000000004	126.78459542795015	126.42217191622014	126.64827940802817	126.28611982860001
149.54766400000005	126.78704722610607	126.42480492902077	126.65046625894212	126.28848907637125
150.915478			126.78948021133118	126.42741258103084	126.65263932543502	126.29083796908692
152.28329200000002	126.79189474210713	126.42999534731408	126.65479882195959	126.29316683601292
